StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
080892,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080893,10000,1,21300,2.13,2.13,2.13,2.13,-0.07,2021-03-22
080894,177000,19,198530,1.1,1.15,1.1,1.15,-0.01,2021-03-22
080895,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080896,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080897,210000,17,279790,1.26,1.45,1.26,1.45,0.36,2021-03-22
080898,582000,34,1420670,2.32,2.62,2.3,2.62,0.65,2021-03-22
080899,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080900,78000,7,83430,1.06,1.08,1.05,1.08,0.0,2021-03-22
080901,305000,8,344970,1.13,1.15,1.12,1.14,0.04,2021-03-22
080902,879000,33,1105960,1.19,1.31,1.18,1.26,0.03,2021-03-22
080903,15000,4,6750,0.45,0.45,0.45,0.45,0.02,2021-03-22
080904,245000,16,314180,1.3,1.3,1.23,1.23,-0.09,2021-03-22
080905,22000,3,29210,1.32,1.35,1.32,1.35,0.02,2021-03-22
080906,674000,44,1429220,1.95,2.18,1.95,2.17,0.25,2021-03-22
080907,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080908,572000,34,286310,0.54,0.55,0.48,0.49,-0.11,2021-03-22
080909,1000,1,960,0.96,0.96,0.96,0.96,-0.11,2021-03-22
080910,520000,5,581400,1.12,1.12,1.07,1.07,0.0,2021-03-22
080911,75000,3,49650,0.67,0.67,0.65,0.65,0.02,2021-03-22
080912,913000,90,1588950,1.72,1.98,1.55,1.85,0.37,2021-03-22
080913,1076000,37,2005970,1.72,1.9,1.72,1.9,0.43,2021-03-22
080914,2344000,97,3570840,1.35,1.77,1.35,1.77,0.56,2021-03-22
080915,84000,7,89270,1.0,1.2,1.0,1.2,0.32,2021-03-22
080916,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080917,27000,8,67030,2.43,2.52,2.43,2.52,0.09,2021-03-22
080918,5000,1,6000,1.2,1.2,1.2,1.2,0.0,2021-03-22
080919,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080920,60000,7,107640,1.82,1.84,1.73,1.73,-0.03,2021-03-22
