StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,6994160,4759,937937176,133.9,134.7,133.6,133.6,0.2,2021-03-23
0051,9823,21,476957,48.75,48.75,48.37,48.37,-0.03,2021-03-23
0052,1028531,519,128595037,125.4,126.6,124.5,124.75,0.25,2021-03-23
0053,10533,20,699288,66.1,66.5,66.05,66.05,0.55,2021-03-23
0054,6053,8,188493,31.38,31.38,31.0,31.01,0.01,2021-03-23
0055,82292,59,1577103,19.2,19.23,19.11,19.2,0.09,2021-03-23
0056,7622297,5300,256501524,33.7,33.79,33.59,33.66,0.06,2021-03-23
0057,42000,7,3790500,90.3,90.95,90.15,90.25,0.1,2021-03-23
0061,628334,205,14665164,23.61,23.75,23.13,23.13,-0.45,2021-03-23
006203,2258,4,142410,62.85,63.0,62.85,63.0,0.45,2021-03-23
006204,2428,6,196659,81.0,81.1,81.0,81.1,0.7,2021-03-23
006205,1745878,565,66493061,38.39,38.49,37.85,37.99,-0.36,2021-03-23
006206,274734,98,10562020,38.89,38.89,38.21,38.31,-0.31,2021-03-23
006207,75010,29,2276431,30.55,30.6,30.12,30.31,-0.24,2021-03-23
006208,1147841,1383,88206225,76.9,77.35,76.65,76.7,-0.05,2021-03-23
00625K,20000,2,175400,8.77,8.77,8.77,8.77,-0.04,2021-03-23
00631L,3081246,972,343620514,111.7,112.55,110.45,110.6,-0.25,2021-03-23
00632R,74430213,3937,461040714,6.18,6.23,6.16,6.22,0.01,2021-03-23
00633L,8735640,2343,581414158,67.6,67.9,65.1,65.85,-1.0,2021-03-23
00634R,694876,81,2771000,3.93,4.01,3.93,4.0,0.05,2021-03-23
00635U,390188,175,9137616,23.45,23.46,23.38,23.41,-0.1,2021-03-23
00636,1680202,558,45674468,27.5,27.51,26.96,27.1,-0.2,2021-03-23
00636K,100,1,947,9.47,9.47,9.47,9.47,-0.1,2021-03-23
00637L,62924615,11516,1644703512,26.56,26.7,25.63,25.82,-0.55,2021-03-23
00638R,1400000,173,11297790,7.99,8.14,7.96,8.1,0.08,2021-03-23
00639,2391364,705,38325048,16.12,16.22,15.91,15.98,-0.12,2021-03-23
00640L,506250,59,14988075,30.0,30.01,29.27,29.28,-0.52,2021-03-23
00641R,374000,50,3961510,10.56,10.67,10.52,10.67,0.11,2021-03-23
00642U,11884428,2074,124246712,10.49,10.5,10.42,10.45,-0.03,2021-03-23
00643,1209709,535,21193903,17.65,17.72,17.38,17.43,-0.18,2021-03-23
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
00645,135221,25,3499127,25.91,25.96,25.65,25.67,-0.27,2021-03-23
00646,362862,156,12436455,34.3,34.3,34.22,34.25,0.18,2021-03-23
00647L,75000,22,4139450,55.4,55.4,55.15,55.15,0.65,2021-03-23
00648R,481000,42,3808660,7.91,7.93,7.9,7.93,-0.04,2021-03-23
00650L,1271845,286,38160824,31.09,31.09,29.68,29.83,-0.95,2021-03-23
00651R,240500,50,1685725,6.92,7.05,6.92,7.05,0.12,2021-03-23
00652,296256,136,7628364,25.66,25.88,25.64,25.79,0.15,2021-03-23
00653L,1013226,403,35886975,35.3,35.79,34.99,35.7,0.84,2021-03-23
00654R,107000,34,1044200,9.8,9.8,9.72,9.72,-0.08,2021-03-23
00655L,5212106,1220,257042187,50.2,50.4,48.35,48.75,-0.92,2021-03-23
00656R,102000,23,754290,7.33,7.43,7.33,7.4,0.06,2021-03-23
00657,3495,5,124337,35.71,35.71,35.64,35.64,-0.18,2021-03-23
00657K,100,1,1254,12.54,12.54,12.54,12.54,-0.02,2021-03-23
00660,11628,11,316069,27.28,27.28,27.12,27.12,-0.14,2021-03-23
00661,2000,2,72810,36.48,36.48,36.33,36.33,-0.36,2021-03-23
00662,266679,105,12728365,47.77,47.87,47.68,47.68,0.34,2021-03-23
00663L,35000,12,3459000,99.95,99.95,98.3,98.3,-0.6,2021-03-23
00664R,3443001,298,24213007,7.03,7.07,7.0,7.07,0.02,2021-03-23
00665L,311000,111,8199470,27.41,27.41,25.95,26.11,-0.99,2021-03-23
00666R,83000,5,907840,10.77,10.99,10.77,10.94,0.24,2021-03-23
00668,66951,20,2254106,33.63,33.72,33.6,33.6,0.03,2021-03-23
00668K,100,1,1182,11.82,11.82,11.82,11.82,0.04,2021-03-23
00669R,1911000,213,16414140,8.57,8.61,8.57,8.61,-0.01,2021-03-23
00670L,758400,254,62759984,83.05,83.2,82.4,82.45,1.15,2021-03-23
00671R,3651000,292,22878740,6.25,6.29,6.25,6.29,-0.05,2021-03-23
00673R,291200,88,5506470,18.88,18.97,18.85,18.93,0.03,2021-03-23
00674R,332000,43,4609490,13.85,13.91,13.84,13.89,0.07,2021-03-23
00675L,304193,170,12937148,42.65,43.0,42.12,42.12,-0.23,2021-03-23
00676R,3748000,220,14380210,3.83,3.86,3.82,3.85,-0.01,2021-03-23
00677U,289420416,11983,716638013,2.45,2.54,2.42,2.54,-0.1,2021-03-23
00678,635378,31,18331354,28.84,28.9,28.83,28.84,0.15,2021-03-23
00680L,95000,28,2053120,21.52,21.7,21.42,21.69,0.12,2021-03-23
00681R,170000,20,2479600,14.64,14.65,14.56,14.58,-0.06,2021-03-23
00682U,121030,57,2211757,18.33,18.33,18.26,18.27,-0.06,2021-03-23
00683L,1262000,240,21632010,17.17,17.17,17.13,17.16,-0.07,2021-03-23
00684R,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
00685L,5000,5,186670,37.7,37.7,37.13,37.18,0.13,2021-03-23
00686R,39000,10,162980,4.17,4.2,4.16,4.2,0.02,2021-03-23
00688L,117000,6,2545270,21.56,21.76,21.56,21.75,0.12,2021-03-23
00689R,289000,16,4440450,15.42,15.43,15.34,15.36,-0.05,2021-03-23
00690,109396,20,3397406,31.1,31.24,31.01,31.05,-0.05,2021-03-23
00692,1940360,973,64924167,33.42,33.62,33.39,33.4,-0.02,2021-03-23
00693U,1776073,253,38502488,21.7,21.72,21.64,21.68,0.1,2021-03-23
00700,160449,23,3205066,20.35,20.35,19.92,19.95,-0.4,2021-03-23
00701,1435423,659,31959795,22.16,22.32,22.16,22.27,0.15,2021-03-23
00702,10000,4,199040,19.9,19.94,19.9,19.94,0.07,2021-03-23
00703,333173,120,8739163,26.53,26.54,26.04,26.11,-0.39,2021-03-23
00706L,659000,42,10836740,16.4,16.47,16.4,16.47,0.07,2021-03-23
00707R,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
00708L,974290,293,24386457,25.12,25.12,24.95,25.05,-0.17,2021-03-23
00709,104000,11,2338490,22.49,22.51,22.48,22.48,0.05,2021-03-23
00710B,306601,98,5692321,18.6,18.6,18.55,18.57,-0.02,2021-03-23
00711B,111550,15,2236925,20.04,20.09,20.04,20.09,0.09,2021-03-23
00712,1158232,512,16464783,14.2,14.25,14.2,14.22,0.03,2021-03-23
00713,74785,67,2873998,38.34,38.6,38.25,38.49,0.28,2021-03-23
00714,214600,10,4264066,19.87,19.88,19.86,19.86,0.17,2021-03-23
00715L,36686692,3554,249197928,6.81,6.86,6.76,6.77,-0.07,2021-03-23
00717,671036,159,11358390,16.89,16.94,16.89,16.91,0.03,2021-03-23
00728,991375,527,26786096,27.04,27.16,26.94,26.94,-0.06,2021-03-23
00730,713732,230,14589054,20.42,20.52,20.35,20.42,0.01,2021-03-23
00731,264194,18,14080823,53.35,53.35,53.2,53.2,0.15,2021-03-23
00732,100000,2,3986000,39.86,39.86,39.86,39.86,-0.04,2021-03-23
00733,429760,129,13970778,33.25,33.25,32.0,32.21,-0.63,2021-03-23
00735,138485,23,4676383,33.9,33.97,33.57,33.57,-0.19,2021-03-23
00736,118400,10,2776704,23.59,23.69,23.36,23.36,-0.2,2021-03-23
00737,1659293,172,55198344,33.3,33.35,33.21,33.3,0.11,2021-03-23
00738U,1701169,465,45550125,26.88,26.88,26.7,26.73,-0.15,2021-03-23
00739,306721,123,8415868,27.72,27.73,27.18,27.24,-0.31,2021-03-23
00742,57605,16,1217924,21.15,21.15,21.1,21.12,-0.03,2021-03-23
00743,57587,16,1638140,28.68,28.72,28.0,28.0,-0.29,2021-03-23
00752,2110642,1483,65805701,31.5,31.6,31.0,31.06,-0.35,2021-03-23
00753L,1498619,552,59977475,41.0,41.15,39.3,39.49,-1.18,2021-03-23
00757,1248900,475,58327255,46.83,46.83,46.57,46.58,0.17,2021-03-23
00762,156537,70,5852516,37.4,37.45,37.32,37.33,0.07,2021-03-23
00763U,275180,103,7433379,27.23,27.28,26.81,26.9,-0.09,2021-03-23
00770,77917,17,2608123,33.44,33.5,33.41,33.41,0.16,2021-03-23
00771,140380,52,2687385,19.15,19.2,19.12,19.14,0.04,2021-03-23
00774B,2000,2,78820,39.41,39.41,39.41,39.41,0.03,2021-03-23
00774C,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
00775B,2000,2,81760,40.88,40.88,40.88,40.88,0.04,2021-03-23
00783,610977,21,13037245,21.48,21.49,21.3,21.36,-0.21,2021-03-23
008201,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
00830,2171475,513,59562410,27.63,27.63,27.35,27.35,0.38,2021-03-23
00850,1095362,705,35941285,32.76,32.96,32.7,32.7,-0.02,2021-03-23
00851,216000,27,6314580,29.25,29.3,29.15,29.15,0.1,2021-03-23
00852L,1006000,96,19081820,18.96,19.0,18.85,18.87,0.1,2021-03-23
00861,2285746,929,63720702,27.86,27.91,27.84,27.86,0.32,2021-03-23
00865B,101000,3,3765180,37.18,37.28,37.18,37.28,-0.12,2021-03-23
00875,916315,167,28308231,30.93,30.98,30.8,30.83,0.11,2021-03-23
00876,1921580,784,53816605,28.0,28.08,27.88,27.9,0.19,2021-03-23
00878,3273123,1657,58251798,17.77,17.84,17.77,17.8,0.06,2021-03-23
00881,26080793,9047,456422509,17.5,17.6,17.4,17.41,0.01,2021-03-23
00882,17646500,7360,284975853,16.3,16.34,16.07,16.12,-0.12,2021-03-23
01001T,30000,13,566640,18.85,18.91,18.85,18.9,0.0,2021-03-23
01002T,151000,59,2819000,18.67,18.7,18.66,18.67,-0.06,2021-03-23
01003T,80000,20,1564280,19.56,19.56,19.55,19.56,0.0,2021-03-23
01004T,55000,9,989460,18.0,18.0,17.99,17.99,0.03,2021-03-23
01007T,169000,65,3529300,20.88,20.89,20.88,20.89,0.01,2021-03-23
01009T,106000,17,1016770,9.6,9.62,9.52,9.6,0.0,2021-03-23
01010T,134000,46,1451400,10.85,10.85,10.82,10.83,0.01,2021-03-23
020000,42000,6,327190,7.81,7.81,7.78,7.8,0.0,2021-03-23
020002,12000,3,246530,20.67,20.67,20.44,20.46,-0.18,2021-03-23
020004,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020006,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020007,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020008,25000,7,291590,11.66,11.67,11.65,11.66,0.0,2021-03-23
020011,61000,16,356250,5.75,5.88,5.68,5.85,0.03,2021-03-23
020012,141000,12,892450,6.35,6.35,6.31,6.31,0.02,2021-03-23
020015,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020016,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020018,36000,6,484510,13.61,13.61,13.45,13.5,0.03,2021-03-23
020019,59000,21,786300,13.35,13.41,13.27,13.27,-0.01,2021-03-23
02001L,31000,3,408070,13.17,13.17,13.16,13.17,0.14,2021-03-23
02001R,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
020020,682000,161,4519260,6.58,6.66,6.58,6.6,0.02,2021-03-23
020022,5414000,851,31110310,5.72,5.8,5.69,5.73,0.01,2021-03-23
03005X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03006X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03007X,5000,2,110500,22.1,22.1,22.1,22.1,0.1,2021-03-23
03009X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03010Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03010X,2000,2,133000,66.5,66.5,66.5,66.5,1.0,2021-03-23
03011Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03012Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03012X,26000,4,405400,15.5,15.6,15.5,15.6,0.7,2021-03-23
03013Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03013X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03014Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03014X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03015Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03015X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03016Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03016X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03017Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03017X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03018Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03019Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03019X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03020X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03022X,4000,4,139900,35.5,35.5,34.8,34.8,0.8,2021-03-23
03026X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03027X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03028X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03029X,3000,1,66600,22.2,22.2,22.2,22.2,0.0,2021-03-23
03033X,3000,3,17700,5.9,5.9,5.9,5.9,0.0,2021-03-23
03035X,5000,1,52000,10.4,10.4,10.4,10.4,0.0,2021-03-23
03038X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03039X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03042P,141000,2,222450,1.55,1.68,1.55,1.68,0.0,2021-03-23
03047X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03049P,405000,12,24300,0.06,0.06,0.06,0.06,-0.01,2021-03-23
03049X,18000,2,127400,7.1,7.1,7.05,7.05,0.0,2021-03-23
03050X,24000,5,116130,4.84,4.86,4.82,4.86,0.04,2021-03-23
03052F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03052X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03053F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03053P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03054F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03055F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03056F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03057F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03058F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03059F,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03060F,21000,2,61150,3.55,3.55,2.88,2.88,-0.67,2021-03-23
03060X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03061F,32000,2,50640,1.72,1.72,1.5,1.5,-0.32,2021-03-23
03063P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03064X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03074X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03075X,2000,1,13100,6.55,6.55,6.55,6.55,0.0,2021-03-23
03093P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03093X,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03096P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03099P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03100P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03102P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03104P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03105P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03114P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03120P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03128P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03130P,7000,2,2040,0.3,0.3,0.29,0.29,0.01,2021-03-23
03131P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03134P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03138P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03167P,61000,1,1220,0.02,0.02,0.02,0.02,-0.01,2021-03-23
03169P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03171P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03193P,10000,10,100,0.01,0.01,0.01,0.01,0.0,2021-03-23
03194P,10000,1,4000,0.4,0.4,0.4,0.4,0.0,2021-03-23
03195P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03196P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03201P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03211P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03212P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03220P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03226P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03248P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03249P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03250P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03253P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03254P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03255P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03261P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03262P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
03263P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-23
